buffer_size,on_time_delivery_rate,total_delay,late_orders,percentage_late_orders,avg_delay_late_orders,bundling_rate,avg_distance_per_order,active_period_idle_rate,on_time_delivery_rate_std,total_delay_std,late_orders_std,percentage_late_orders_std,avg_delay_late_orders_std,bundling_rate_std,avg_distance_per_order_std,active_period_idle_rate_std
26,66.09561070493754,570.0214045111493,44.76,33.90438929506245,11.68082269277909,1.603784441188359,105.94873899685386,0.3752327694714797,9.670988324467542,349.7055967542106,14.595972047109434,9.670988324467542,4.360255989677079,1.4992384979057485,11.135897505929789,0.05570640591415864
27,64.81297082729083,607.917205625045,46.69,35.18702917270916,12.056578821336384,1.6054253021694596,105.23255638992318,0.3782440106823904,9.119053286983588,404.62527835087235,14.198376667774381,9.119053286983588,4.305722221639881,1.474032000810312,10.459723435237056,0.05459152925730504
28,65.22318501190063,603.6027417899468,46.02,34.77681498809935,12.058074323896092,1.8464159014752186,104.11612611684704,0.38471839575758465,10.109002395616104,374.53796088719207,15.155843757442208,10.109002395616105,4.254023934424064,1.743788457381024,8.610179541241122,0.061851153836211085
29,65.51005544037629,661.0217818154078,46.46,34.489944559623694,12.580685482169528,1.89459008142252,105.34758296666884,0.3645744757885641,10.518013280415802,519.1098913188385,16.907051783205727,10.518013280415802,5.405192497462334,1.6310419958404312,9.827983185903296,0.06104073443408341
30,66.5789439610978,574.1402164079516,44.04,33.421056038902194,11.970921938223023,1.6660992471793135,104.93823728552678,0.3836256044015156,9.387311422776481,381.36994745463033,14.67850128589428,9.387311422776481,4.201869837019228,1.4707917504934926,8.787640633965053,0.05264702096739024
31,64.87482684031544,608.0276629097677,46.8,35.12517315968456,12.077614148278542,1.9483829080485577,105.02842936037118,0.37824870243663555,8.78696266706972,353.7710348057098,13.807244475274567,8.78696266706972,4.21918802321692,1.853539453591758,8.850612112229427,0.04998442279546843
32,65.78206181124214,591.605167496809,45.47,34.217938188757856,12.008747806024767,1.8374429770088307,103.60405195285156,0.3730124552777972,9.487917422677068,371.8508671175984,14.269166058323101,9.487917422677068,4.327878774720938,1.6213151433931698,9.015476144529883,0.054645041615985664
33,64.64656046628532,595.1144149801346,47.12,35.35343953371466,11.951627183943634,1.6716269889570565,106.6788986427299,0.3719050480088565,8.566721082036594,314.63145942969885,13.185810555290105,8.566721082036594,3.6652326088603826,1.5709795951265868,8.634742905964645,0.049362748723798665
34,64.42049564101853,625.7077599372819,47.28,35.57950435898148,12.166319367050976,1.8491376718055157,105.56632201490824,0.37528227777998063,9.336210699915505,407.67897756826005,14.473479194720252,9.336210699915506,4.796450698161077,1.7626580967112688,8.983569955263134,0.0514288516454586
35,63.919962126790026,641.9094210416354,48.22,36.08003787320998,12.324672201960418,1.8639920479839984,106.05738245125613,0.3684676507414098,8.808532912229953,434.0608166271097,14.378859481892157,8.808532912229953,4.402291585459594,1.6359000963317083,9.163814738851276,0.05901597742725242
36,64.23600168365516,659.0187794232644,47.88,35.76399831634482,12.44015695221683,1.9061835435513599,104.71119650681463,0.3781264572957467,11.016141998174529,447.90942441334886,17.202488192119183,11.016141998174527,4.936091751696716,1.9072578061299796,8.937548607860428,0.061281238081895714
37,63.97249070159935,638.6556357619202,47.95,36.027509298400645,12.430160970683165,1.8570076703303904,106.93496500475374,0.3707668019097678,9.086312786782788,394.8276345861378,14.154416271962614,9.086312786782788,4.72292444765809,1.4757230651229103,8.569038403737764,0.054838206193327375
38,64.7840562096205,631.3139703788163,46.9,35.21594379037949,12.357811267728241,1.83086548600307,105.64973251003909,0.3728280267277744,9.248181174408007,404.7241024899573,14.496551314019483,9.248181174408007,4.760793457532541,1.6589027355858663,8.478673893011353,0.05912045208078388
39,64.94648501596637,595.371135960742,46.12,35.053514984033626,11.999767908196098,1.7657476134905057,106.48251479237533,0.37676815371973676,9.313054420921791,377.038121943142,14.384908758834724,9.313054420921791,4.163258261835958,1.8252889325018926,9.989180295445676,0.057101239891656844
